User ID,Reader Company,Title,Activity Date,Content Title,Content Topics,Activity Source,Specifics,Client,Newsletter Name
user-0,Co-0,Manager,2025-01-01T00:00:00,Content 0,"Manufacturing,QA",newsletter,details,,NEWS_0
user-1,Co-1,Scientist,2025-01-01T00:01:00,Content 1,"Downstream,Purification",newsletter,details,,NEWS_1
user-2,Co-2,Engineer,2025-01-01T00:02:00,Content 2,"Downstream,Purification",newsletter,details,,NEWS_2
user-3,Co-3,Engineer,2025-01-01T00:03:00,Content 3,"Manufacturing,QA",newsletter,details,,NEWS_3
user-4,Co-4,Scientist,2025-01-01T00:04:00,Content 4,"Downstream,Purification",webinar,details,,NEWS_4
user-5,Co-5,Manager,2025-01-01T00:05:00,Content 5,"Upstream,Cell Culture",webinar,details,ClientC,NEWS_5
user-6,Co-6,Scientist,2025-01-01T00:06:00,Content 6,Analytical,event,details,ClientA,NEWS_6
user-7,Co-7,Manager,2025-01-01T00:07:00,Content 7,"Downstream,Purification",newsletter,details,ClientC,NEWS_7
user-8,Co-8,Scientist,2025-01-01T00:08:00,Content 8,"Upstream,Cell Culture",newsletter,details,ClientA,NEWS_8
user-9,Co-9,Engineer,2025-01-01T00:09:00,Content 9,"Upstream,Cell Culture",newsletter,details,ClientB,NEWS_9
user-10,Co-10,Engineer,2025-01-01T00:10:00,Content 10,"Downstream,Purification",event,details,,NEWS_10
user-11,Co-11,Manager,2025-01-01T00:11:00,Content 11,"Upstream,Cell Culture",newsletter,details,ClientA,NEWS_11
user-12,Co-12,Engineer,2025-01-01T00:12:00,Content 12,"Upstream,Cell Culture",newsletter,details,ClientB,NEWS_12
user-13,Co-13,Scientist,2025-01-01T00:13:00,Content 13,"Manufacturing,QA",newsletter,details,,NEWS_13
user-14,Co-14,Manager,2025-01-01T00:14:00,Content 14,"Manufacturing,QA",newsletter,details,,NEWS_14
user-15,Co-15,Engineer,2025-01-01T00:15:00,Content 15,"Manufacturing,QA",newsletter,details,ClientC,NEWS_15
user-16,Co-16,Director,2025-01-01T00:16:00,Content 16,"Downstream,Purification",newsletter,details,ClientB,NEWS_16
user-17,Co-17,Manager,2025-01-01T00:17:00,Content 17,"Downstream,Purification",newsletter,details,ClientA,NEWS_17
